"_id","count","school","pincode","city"
"ganesh nagar saraswati balika vidya(000000)","6","Ganesh Nagar Saraswati Balika Vidya","000000","Not-Applicable"
"ganesh ram nagar swarwsti sishu mandir(000000)","15","Ganesh Ram nagar swarwsti sishu mandir","000000","Not-Applicable"
"ganesh ram ram nagar saraswati(000000)","1","Ganesh Ram ram nagar Saraswati","000000","Not-Applicable"
"ganesh ramnagar(000000)","72","Ganesh Ramnagar","000000","Not-Applicable"
"ganesh ram nagar school(000000)","6","Ganesh ram nagar school","000000","Not-Applicable"
"ganeshram nagar svbm(000000)","1","GaneshRam nagar SVBM","000000","Not-Applicable"
"ganeshramnagarsaraswatibalikavidyamandir(000000)","1","Ganeshramnagarsaraswatibalikavidyamandir","000000","Not-Applicable"
"ganga international school sawda(000000)","1","Ganga international school Sawda","000000","Not-Applicable"
"gargi girls' school(000000)","2","Gargi Girls' School","000000","Not-Applicable"
"gayatri school(000000)","2","Gayatri school","000000","Not-Applicable"
"geeta bal bharti sr. sec. school(000000)","4","Geeta Bal Bharti Sr. Sec. School","000000","Not-Applicable"
"geeta bal bharti school(000000)","7","Geeta Bal Bharti school","000000","Not-Applicable"
"geeta bal bharti(000000)","25","Geeta bal bharti","000000",""
"geeta bal bharti senior secondary school(000000)","5","Geeta bal bharti senior secondary school","000000","Not-Applicable"
"gems new millennium school dubai(000000)","1","Gems New Millennium School Dubai","000000","Not-Applicable"
"general raj school(000000)","6","General Raj school","000000","Not-Applicable"
"gh raisoni university(000000)","1","Gh raisoni University","000000","Not-Applicable"
"global indian international school(000000)","13","Global Indian International School","000000","Not-Applicable"
"gov boys ss  school(000000)","1","Gov boys ss  school","000000","Not-Applicable"
"gov. sarvodaya vidyalaya(000000)","6","Gov. Sarvodaya vidyalaya","000000","Not-Applicable"
"govd co-ed middle school east rohtash(000000)","2","Govd co-ed MIddle school east rohtash","000000","Not-Applicable"
"goverment boys senior secondary school(000000)","7","Goverment boys senior secondary school","000000",""
"governament polytechnic for women medak(000000)","1","Governament polytechnic for women medak","000000","Not-Applicable"
"government girls sec school(000000)","2","Government Girls Sec School","000000","Not-Applicable"
"government high secondary school singodi(000000)","1","Government High Secondary School singodi","000000","Not-Applicable"
"government mohindra college,patiala(000000)","1","Government Mohindra college,Patiala","000000","Not-Applicable"
"government college tantoti(000000)","1","Government college Tantoti","000000","Not-Applicable"
"government college for girls(000000)","8","Government college for girls","000000","Not-Applicable"
"government college sukhatawa(000000)","1","Government college sukhatawa","000000","Not-Applicable"
